"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
963,"07010602104 DAISY INTL SCH,BLK-A,SEC-16 ROHIN0I21-ROHINI",Primary,,,Pvt. Unaided,,Urban Co-Educational,109,82,191,,1,5 6,5
964,"07010602102 GOLDY P/S,56B,BALBIR VIHAR,DEL-41021-ROHINI",Primary,,,Pvt. Unaided,,Urban Co-Educational,133,67,200,,1,4 5,12
965,07010602105 OJAS PUBLIC SCHOOL,021-ROHINI Primary,,,Pvt. Unaided,,Urban Co-Educational,110,84,194,,0,7 7,6
966,07010602305 JUPITER P/S A-7 RITHALA RD D-41,023-BUDH VIHAR Primary,,,Pvt. Unaided,,Urban Co-Educational,108,54,162,,0,6 6,11
967,"07010602302 RADHA DEVI P/S,BUDHVIHAR,DEL¿41023-BUDH VIHAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,136,125,261,,0,6 6,6
968,"07010602304 S MOD SCHOOL,E-2/14,BUDHVIHAR D023-BUDH VIHAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,126,110,236,,0,5 5,5
969,07010602306 ST. FRENCIS CONVENT SCHOOL,023-BUDH VIHAR Primary,,,Pvt. Unaided,,Urban Co-Educational,146,112,258,,0,6 6,6
970,"07010602301 VIDYA SAGAR P/S,BUDHVIHAR,DEL-41023-BUDH VIHAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,89,64,153,,0,5 5,5
971,"07010602402 BDJAIN P/S,C-41,VIJAY VIHAR,DEL-85024-VIJAY VIHAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,77,75,152,,1,4 5,8
972,"07010602401 NEW SKYLAND P/S,ROHINI SE 1,DEL 024-VIJAY VIHAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,82,47,129,,0,5 5,5
973,07010602403 SKYLAND P/S E-9 RITHALA D-41,024-VIJAY VIHAR Primary,,,Pvt. Unaided,,Urban Co-Educational,127,77,204,,0,6 6,6
974,07010602501 SURYA P/S KRISHAN VIHAR D-41,025-POOTH KALA Primary,,,Pvt. Unaided,,Urban Co-Educational,83,63,146,,1,4 5,5
975,"07010602601 DWARKADHESH P/S,NO. 8,ROHINI,DE026-SAHIBABAD DAULPArTimPaUryR",,,,Pvt. Unaided,,Urban Co-Educational,124,65,189,,0,5 5,8
976,07010602603 RANA P/S SHAHIBABAD DAULTAPUR 0D26-SAHIBABAD DAULPArTimPaUryR,,,,Pvt. Unaided,,Rural Co-Educational,95,46,141,,0,5 5,5
977,"07010602602 SS MOD SCHOOL,279 PRAHLDPUR,DE0L26-SAHIBABAD DAULPArTimPaUryR",,,,Pvt. Unaided,,Rural Co-Educational,112,81,193,,2,3 5,9
978,"07010602801 SHANTI VIDYA NIKETAN,BAWANA DEL028-BAWANA",Primary,,,Pvt. Unaided,,Urban Co-Educational,172,102,274,,3,4 7,6
979,"07010602803 SHIV MODERN SCHOOL,DARYAPUR D028-BAWANA",Primary,,,Pvt. Unaided,,Rural Co-Educational,128,75,203,,0,5 5,10
"",School,,,School,School,,Location &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code  & Name: 070106,MCDUNAIDED,,,Total Schools in this block :,90,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,,
980,"07010602901 OM SHAKTI P/S,JAIN NGR,KARLA D-81029-KARALA",Primary,,,Pvt. Unaided,,Rural Co-Educational,88,51,139,,0,5 5,,5
981,"07010602902 RURAL DELHI P/S, KARALA, D-41",029-KARALA Primary,,,Pvt. Unaided,,Rural Co-Educational,117,80,197,,2,3 5,,5
982,07010603004 GIAN DEEP MODEL P/S NIJAMPUR D,030-MUNDKA Primary,,,Pvt. Unaided,,Rural Co-Educational,59,26,85,,1,3 4,,5
983,07010603003 GURU PREM SUKH JAIN MODERN SC0H3O0O-MLUNDKA,Primary,,,Pvt. Unaided,,Rural Co-Educational,136,72,208,,2,8 10,,12
984,07010603002 LAVI P/S KH./ PLOT NO-141,030-MUNDKA Primary,,,Pvt. Unaided,,Urban Co-Educational,147,66,213,,1,5 6,,5
985,07010603001 R. L. PUBLIC SCHOOL,030-MUNDKA Primary,,,Pvt. Unaided,,Rural Co-Educational,170,133,303,,0,5 5,,5
986,07010603302 HOLI FATHER MODAL SCHOOL,033-PRATAP VIHAR Primary,,,Pvt. Unaided,,Rural Co-Educational,180,111,291,,0,5 5,,5
987,07010603301 RAN SINGH MODEL P/S,033-PRATAP VIHAR Primary,,,Pvt. Unaided,,Urban Co-Educational,198,136,334,,3,4 7,,7
988,07010603303 SARASWATI MODEL SCHOOL,033-PRATAP VIHAR Primary,,,Pvt. Unaided,,Urban Co-Educational,115,81,196,,2,3 5,,7
989,07010603401 NEW SUN P/S,034-NITHARI Primary,,,Pvt. Unaided,,Rural Co-Educational,85,74,159,,0,5 5,,6
990,"07010603506 BAL DEEP MODEL SCHOOL, KARAN V0IH35A-RKIRARI SULEMANP NriGmRary",,,,Pvt. Unaided,,Rural Co-Educational,106,65,171,,3,3 6,,6
991,07010603501 CH. HANSRAJ MODEL SCHOOL,035-KIRARI SULEMANP NriGmRary,,,Pvt. Unaided,,Urban Co-Educational,152,88,240,,0,5 5,,6
992,07010603503 HANSRAJ INTERNATIONAL SCHOOL 035-KIRARI SULEMANP NriGmRary,,,,Pvt. Unaided,,Rural Co-Educational,223,112,335,,4,3 7,,12
993,07010603505 PREM RAJ KANWAR PUBLIC SCHOOL035-KIRARI SULEMANP NriGmRary,,,,Pvt. Unaided,,Urban Co-Educational,50,34,84,,0,6 6,,5
994,"07010603507 SHIVAM  P/S,PREM NGR-III ,KIRARI",035-KIRARI SULEMANP NriGmRary,,,Pvt. Unaided,,Urban Co-Educational,84,72,156,,3,3 6,,5
995,07010603502 SHREE KESHAV VIDYA MANDIR,035-KIRARI SULEMANP NriGmRary,,,Pvt. Unaided,,Urban Co-Educational,39,18,57,,1,4 5,,8
996,07010603504 SWAMI SATYANAND CONVENT SCHO0O3L5-KIRARI SULEMANP NriGmRary,,,,Pvt. Unaided,,Urban Co-Educational,90,33,123,,0,5 5,,5
997,07010603601 D.S.M. PUBLIC SCHOOL,036-PREM NAGAR Primary,,,Pvt. Unaided,,Rural Co-Educational,175,136,311,,4,3 7,,17
998,"07010603602 DHRUV P/S, PREM NAGAR, KIRARI",036-PREM NAGAR Primary,,,Pvt. Unaided,,Urban Co-Educational,229,120,349,,3,4 7,,7
999,"07010603701 M P JAIN P/S,KHUBRAM,NAGLOI D-41037-SULTANPURI EASPTrimary",,,,Pvt. Unaided,,Urban Co-Educational,72,36,108,,0,5 5,,5
1000,07010603702 VIKRAM P/S,037-SULTANPURI EASPTrimary,,,Pvt. Unaided,,Urban Co-Educational,127,71,198,,2,4 6,,6
1001,07010604001 NANDBHARTIP/S44 FIRENDERENC.SE0C40-SULTANPURI SOUPTriHmary,,,,Pvt. Unaided,,Urban Co-Educational,115,93,208,,0,5 5,,9
1002,07010605201 HIMALAYA INTERNATIONAL SCHOOL052-NAHARPUR,Primary,,,Pvt. Unaided,,Urban Co-Educational,191,139,330,,0,16 16,,12
1003,07010605301 BENI PERSHAD JAIPURI PUBLIC SCHO05O3L-PITAM PURA (SOUPTriHmary,,,,Pvt. Unaided,,Urban Co-Educational,39,40,79,,1,8 9,,5
1004,"07010605401 SATGURU MOD SCHOOL,A-2,KESHV P0U54R-PAIMTAMPURA (NORPTrHimary",,,,Pvt. Unaided,,Urban Co-Educational,21,15,36,,0,7 7,,8
1005,07010605908 ARVIND BAL ACADEMY RANI BAGH,059-RANI BAGH Primary,,,Pvt. Unaided,,Urban Co-Educational,54,22,76,,0,8 8,,5
1006,07010605904 FLORA CONVENT C-138 PITAMPURA D059-RANI BAGH,Primary,,,Pvt. Unaided,,Urban Co-Educational,74,43,117,,0,8 8,,8
1007,07010605905 J.N.M/S SHAKUR BASTI RANI BAGH,059-RANI BAGH Primary,,,Pvt. Unaided,,Urban Co-Educational,71,45,116,,0,6 6,,6
1008,"07010605910 K.P.P /S, B61,RANIBAGH D-34",059-RANI BAGH Primary,,,Pvt. Unaided,,Urban Co-Educational,69,54,123,,2,4 6,,5
1009,"07010605902 KAPILA P/S, 2 SANDESH VIHAR D-34",059-RANI BAGH Primary,,,Pvt. Unaided,,Urban Co-Educational,59,45,104,,0,9 9,,5
1010,07010605901 OM P/S 832 RISHI NGR RANIBAGH D- 059-RANI BAGH,Primary,,,Pvt. Unaided,,Urban Co-Educational,98,78,176,,0,8 8,,5
1011,"07010605907 S.P BAMBA M/S, 1734,RANIBAGH D-34059-RANI BAGH",Primary,,,Pvt. Unaided,,Urban Co-Educational,54,40,94,,0,5 5,,5
"",School,,,School,School,,Location &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code & Name: 070106,MCDUNAIDED,,,Total Schools in this block :,90,,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,,
1012,07010605906 VIDHYA JYOTI M/S RANI BAGH D-34,059-RANI BAGH Primary,,,Pvt. Unaided,,Urban Co-Educational,58,45,103,,1,6 7,,5
1013,07010606001 HAPY HOUR SCHOL H-4 PITAMPURA D060-SARASWATI VIHAPRrimary,,,,Pvt. Unaided,,Urban Co-Educational,355,263,618,,0,21 21,,18
1014,07010606002 HORIZON M/S SARASWATI VIHAR,060-SARASWATI VIHAPRrimary,,,Pvt. Unaided,,Urban Co-Educational,151,91,242,,0,5 5,,5
1015,"07010606106 AGARWAL MOD SCHOL,2586,TRI NG 061-TRINAGAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,63,51,114,,0,8 8,,5
1016,07010606103 M M RAM JAIN M/S 2541 TRI NGR.D-35061-TRINAGAR,Primary,,,Pvt. Unaided,,Urban Co-Educational,66,42,108,,0,5 5,,5
1017,"07010606102 M S ACADEMY 1698/120,TRI NGR D-35061-TRINAGAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,46,32,78,,0,6 6,,5
1018,07010606104 TRI NAGAR P/S ONKAR NAGAR,061-TRINAGAR Primary,,,Pvt. Unaided,,Urban Co-Educational,106,69,175,,0,5 5,,5
1019,"07010606105 VIVEK MOD SCHOL,K3788/5,TRING,D 061-TRINAGAR",Primary,,,Pvt. Unaided,,Urban Co-Educational,67,50,117,,0,5 5,,5
1020,07010606301 VIKAS P/S 101 RAJNAGAR RD-NO-43,063-KOHAT ENCLAVEPrimary,,,Pvt. Unaided,,Urban Co-Educational,55,46,101,,1,3 4,,5
1021,"07010606401 JANTA MOD P/S, 1-1 SHAKUR PUR D",064-SHAKAR PUR Primary,,,Pvt. Unaided,,Urban Co-Educational,341,199,540,,0,11 11,,10
1022,"07010606702 MATA SHIV DEVI P/S,A-2,KESHV PURA0M67-WAZIRPUR",Primary,,,Pvt. Unaided,,Urban Co-Educational,133,81,214,,0,5 5,,8
1023,07010606701 TRI NAGAR P/S ONKAR NGR TRI NAG0A6R7-WAZIRPUR,Primary,,,Pvt. Unaided,,Urban Co-Educational,125,108,233,,0,7 7,,5
1024,07010606801 NEW STAR P/S ASHOK VIHAR,068-ASHOK VIHAR Primary,,,Pvt. Unaided,,Urban Co-Educational,64,29,93,,0,8 8,,5
1025,07010607001 KANWALJEET'S HAPPY PUBLIC SCHO0O70L-RANA PRATAP BAPGriHmary,,,,Pvt. Unaided,,Urban Co-Educational,89,55,144,,0,5 5,,5
